路线,车次,出发站,到达站,出发时间,到达时间,历时,二等座价格,一等座价格,商务座价格,硬座价格,硬卧价格,软卧价格,无座价格,二等座余票,一等座余票,商务座余票,抓取时间
上海 -> 安顺,G1377,上海虹桥,安顺西,09:30,19:33,10小时3分,¥822,¥1356.5,¥2586,无,无,无,无,仅4张 仅1张,无,无,2025-06-02 12:14:33
上海 -> 安顺,G1375,上海虹桥,安顺西,11:11,21:18,10小时7分,¥781,¥1310.5,¥2455,无,无,无,无,仅99张 仅5张,无,无,2025-06-02 12:14:33
上海 -> 毕节,G2189,上海虹桥,毕节,07:29,17:31,10小时2分,¥801.5,¥1339.5,¥2508,无,无,无,无,仅99张 仅2张,无,无,2025-06-02 12:14:49
上海 -> 毕节,G2193,上海虹桥,毕节,10:46,20:44,9小时58分,¥851.5,¥1400.5,¥2667,无,无,无,无,仅99张 仅12张 仅3张,无,无,2025-06-02 12:14:49
上海 -> 铜仁,G2141,上海虹桥,铜仁,13:42,22:24,8小时42分,¥664,¥1113.5,¥2105.5,无,无,无,无,仅99张 仅13张 仅3张,无,无,2025-06-02 12:15:05
上海 -> 黔东南,G1321,上海虹桥,凯里南,06:10,14:44,8小时34分,¥735,¥1164,¥2179.5,无,无,无,无,仅99张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,G1371,上海虹桥,凯里南,07:22,15:48,8小时26分,¥694,¥1164,¥2179.5,无,无,无,无,仅99张 仅7张 仅4张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,K833,上海松江,凯里,07:26,07:41+1,24小时15分,无,无,无,¥206,¥353,¥556,¥206,仅99张 仅4张 仅99张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,G2189,上海虹桥,凯里南,07:29,16:07,8小时38分,¥694,¥1164,¥2179.5,无,无,无,无,仅99张 仅2张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,G1337,上海虹桥,凯里南,08:21,16:50,8小时29分,¥735,¥1164,无,无,无,无,无,仅99张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,G1373,上海虹桥,凯里南,08:53,16:28,7小时35分,¥749,¥1233,¥2354.5,无,无,无,无,仅99张 仅99张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,G1377,上海虹桥,凯里南,09:30,18:10,8小时40分,¥749,¥1233,¥2354.5,无,无,无,无,仅4张 仅1张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,G2193,上海虹桥,凯里南,10:46,19:09,8小时23分,¥749,¥1233,¥2354.5,无,无,无,无,仅99张 仅5张 仅1张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,G1375,上海虹桥,凯里南,11:11,20:01,8小时50分,¥708,¥1187,¥2223.5,无,无,无,无,仅99张 仅5张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,G1333,上海虹桥,凯里南,11:44,20:07,8小时23分,¥749,¥1233,¥2354.5,无,无,无,无,仅99张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,K111,上海松江,凯里,15:08,14:51+1,23小时43分,无,无,无,¥206,¥353,¥556,¥206,仅99张 仅99张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,K79,上海南,凯里,18:24,19:14+1,24小时50分,无,无,无,¥206,¥353,¥556,¥206,仅99张 仅1张 仅1张 仅99张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,K495,上海松江,凯里,18:40,19:31+1,24小时51分,无,无,无,¥206,¥353,¥556,¥206,仅99张 仅99张 仅6张 仅99张,无,无,2025-06-02 12:15:23
上海 -> 黔东南,K739,上海南,凯里,19:59,20:15+1,24小时16分,无,无,无,¥206,¥353,¥556,¥206,仅99张 仅99张 仅1张 仅99张,无,无,2025-06-02 12:15:23
上海 -> 凯里,G1321,上海虹桥,凯里南,06:10,14:44,8小时34分,¥735,¥1164,¥2179.5,无,无,无,无,仅99张,无,无,2025-06-02 12:16:40
上海 -> 凯里,G1371,上海虹桥,凯里南,07:22,15:48,8小时26分,¥694,¥1164,¥2179.5,无,无,无,无,仅99张 仅7张 仅4张,无,无,2025-06-02 12:16:40
上海 -> 凯里,K833,上海松江,凯里,07:26,07:41+1,24小时15分,无,无,无,¥206,¥353,¥556,¥206,仅99张 仅4张 仅99张,无,无,2025-06-02 12:16:40
上海 -> 凯里,G2189,上海虹桥,凯里南,07:29,16:07,8小时38分,¥694,¥1164,¥2179.5,无,无,无,无,仅99张 仅2张,无,无,2025-06-02 12:16:40
上海 -> 凯里,G1337,上海虹桥,凯里南,08:21,16:50,8小时29分,¥735,¥1164,无,无,无,无,无,仅99张,无,无,2025-06-02 12:16:40
上海 -> 凯里,G1373,上海虹桥,凯里南,08:53,16:28,7小时35分,¥749,¥1233,¥2354.5,无,无,无,无,仅99张 仅99张,无,无,2025-06-02 12:16:40
上海 -> 凯里,G1377,上海虹桥,凯里南,09:30,18:10,8小时40分,¥749,¥1233,¥2354.5,无,无,无,无,仅4张 仅1张,无,无,2025-06-02 12:16:40
上海 -> 凯里,G2193,上海虹桥,凯里南,10:46,19:09,8小时23分,¥749,¥1233,¥2354.5,无,无,无,无,仅99张 仅5张 仅1张,无,无,2025-06-02 12:16:40
上海 -> 凯里,G1375,上海虹桥,凯里南,11:11,20:01,8小时50分,¥708,¥1187,¥2223.5,无,无,无,无,仅99张 仅5张,无,无,2025-06-02 12:16:40
上海 -> 凯里,G1333,上海虹桥,凯里南,11:44,20:07,8小时23分,¥749,¥1233,¥2354.5,无,无,无,无,仅99张,无,无,2025-06-02 12:16:40
上海 -> 凯里,K111,上海松江,凯里,15:08,14:51+1,23小时43分,无,无,无,¥206,¥353,¥556,¥206,仅99张 仅99张,无,无,2025-06-02 12:16:40
上海 -> 凯里,K79,上海南,凯里,18:24,19:14+1,24小时50分,无,无,无,¥206,¥353,¥556,¥206,仅99张 仅1张 仅1张 仅99张,无,无,2025-06-02 12:16:40
上海 -> 凯里,K495,上海松江,凯里,18:40,19:31+1,24小时51分,无,无,无,¥206,¥353,¥556,¥206,仅99张 仅99张 仅6张 仅99张,无,无,2025-06-02 12:16:40
上海 -> 凯里,K739,上海南,凯里,19:59,20:15+1,24小时16分,无,无,无,¥206,¥353,¥556,¥206,仅99张 仅99张 仅1张 仅99张,无,无,2025-06-02 12:16:40
上海 -> 赤水,G3292,上海虹桥,泸州,08:24,22:27,14小时3分,¥1064,¥1700.5,¥3350.5,无,无,无,无,仅99张 仅11张,无,无,2025-06-02 12:17:55
上海 -> 赤水,G1476,上海虹桥,泸州,09:51,21:39,11小时48分,¥1118.5,¥1812.5,¥3651,无,无,无,无,仅99张 仅4张 仅6张,无,无,2025-06-02 12:17:55
上海 -> 仁怀,G1337,上海虹桥,遵义,08:21,18:23,10小时2分,¥821.5,¥1306.5,无,无,无,无,无,仅99张 仅3张,无,无,2025-06-02 12:18:11
上海 -> 仁怀,G1333,上海虹桥,遵义,11:44,21:37,9小时53分,¥831.5,¥1369.5,¥2610,无,无,无,无,仅99张 仅2张,无,无,2025-06-02 12:18:11
