评分,用户,评论详情,日期,IP位置
无评分,匿名用户,贵阳真的太多吃的啦！必须是要带着健胃消食片来的三小时吃一家的速度，还是只能吃到小部分错开大排长龙的热门网红店在居民区觅食是一个很不错的选择哦💚￼857烙锅(福州街总店)这家要排队，但是可以线上取号👍👍，烙锅蘸水杠杠的，正宗蘸鞋底都好吃🩷￼贵州特色青菜牛肉看到口碑很好，特地过来吃，味道还是不错的，适合下饭🧡￼黔江留一手特色烤鱼店(金源街店)贵州烤鱼一定要试试！真的有不一样，新鲜好吃，念念不忘💙￼龙老太味全夺夺粉(会展东路店)味道还是不错的，汤底拌饭好好吃，酸辣开胃💛￼红牌铁板烧巨多人排队！想吃要错开高峰，需要现场排号💜￼巧八角·冰粉·冰浆(观山湖公园店)好吃！一定要试试，冰沙里加糯米口感特别，青瓜味超清爽的🤎￼蒋家肠旺面馆(碧海南路店)就近选择的一家，还蛮多人的，口味和口碑都还不错哦🩵￼￼他先生豆米豆豉酸辣烫火锅(绿地联盛店)豆米火锅的口味真是看个人喜好了... 这家有豆豉火锅，店铺坐一坐都会被腌入味💗￼去茶山(美的广场玻璃房子店)芭乐抹茶的芭乐味特别浓，好喝但是也没有特别惊艳，喜欢喝饮料的可以尝试其他都是路边偶遇的小摊啦，具体可以看图片里的文字哦对吃货来说，贵阳还是很值得来一趟的～#当地才能吃到的美食 #尝一尝地道老字号 #贵阳美食 #和朋友出去撒欢儿,展开更多,
无评分,匿名用户,#大声安利本地美食857烙锅⭐️⭐️⭐️第一次吃烙锅真的被惊艳到了特别是烤小肠!一口爆汁没有腥味对于我们不爱吃肥肠的人都觉得好吃还有洋芋粑也是必吃!但是我们去的那家环境一般比较简陋胜在味道还是好多人去但是不需要排队(有团购和代金券)2，他先生豆米豆豉酸辣烫⭐️⭐️⭐️我们点的豆豉锅底有一点点臭味但是不是很浓比较重口味辣咸下饭吃很不错素菜都是自助的还有自助冰粉和酸梅汁(有团购很划算)3，一些贵阳本地的饮品去茶山点了个芭乐生椰贵州铜仁抹茶味道很奇妙不好喝也不难喝价格偏贵好1多⭐️⭐️⭐️其实和普通酸奶差不多就是那里面很多有颗粒折耳根口味确实有点惊艳奇妙的感觉但是不算太好喝喝到后面有腻不喜欢折耳根人肯定是受不了的去安顺点了杯宫鼎茶抹茶茉莉与其他奶茶店的区别就是贵阳的抹茶真的很香包括那个小花酥抹茶口味的都比其他的好吃4，但家正宗黄糖碗饵糕(城基路店)⭐️就是红糖味馒头的感觉然后红糖比较多没必要特意去一趟5，金牌罗记肠旺面⭐️⭐️味道感觉一般加了脆哨给我感觉脆哨很像油渣789都是安顺顾府街6，干鸡块面⭐️⭐️⭐️里面的辣椒非常好吃搭配的汤里面居然有好几块肉7烤米皮⭐️⭐️⭐️好吃几口就吃完了还有好多人点烤脑花感觉是附近居民应该不错对面就是王记小裹卷8碗耳糕⭐️⭐️⭐️红糖口味QQ弹弹的糯叽叽真材实料顶饱冲冲糕⭐️⭐️⭐️是安顺古镇里面的算甜品味道就是红糖豆沙味因为我们点的二合一里面还有八宝饭9一些路边摊还最推荐安顺烤小肠⭐️⭐️⭐️⭐️⭐️豆腐圆子⭐️⭐️⭐️好像包浆豆腐的味道裹豆皮⭐️⭐️⭐️⭐️里面馅很多挺好吃的10西江千户苗寨必吃烤黑猪肉⭐️⭐️⭐️⭐️⭐️肉比我们平时吃的更嫩￥1一串性价比也很高我们是随便找了一家主要看他现穿的后面又随便买了一家味道都差不多现烤糍粑⭐️⭐️⭐️路边很多阿姨卖￥5一个包的馅儿特别多11、青岩古镇花溪牛肉粉⭐️⭐️⭐️⭐️牛肉是卤过的很扎实清汤很鲜卤猪蹄也是那边特色只是我不喜欢吃猪蹄12、离开贵阳点的外卖蛋包糯米饭苕皮好吃⭐️⭐️⭐️⭐️⭐️但是感觉不是糯米饭就是普通米饭苕皮比较多小裹卷⭐️⭐️⭐️⭐️⭐️也是随便吃不踩雷#一人食吃什么#笔记灵感#美食日常#饮料日常#本地人爱吃的店#小众旅行地#贵阳 #贵阳美食#贵阳旅游#贵阳美食打卡指南,展开更多,
无评分,匿名用户,作为一个贵州人，一定吃过烙锅；而作为一个贵阳人，相信也一定吃过857烙锅，吃过他的人，一定会被他的“霸气”所征服！这家857烙锅位于观山湖世纪城福州街176号，门牌上几个醒目的数字就足以撩动很多食客的心。走进店内，墙壁上的脸谱让店铺显得更有格调，特别是墙壁上的话语，更能撩动一个食客的心：“别让男店员以为你对他有意思，他会当真，没法好好工作，别问女店员年龄，不然小心多收一倍菜钱”；“如果早餐是一个城市的良心，夜宵就是一个城市的灵魂，无论加班结束，还是下晚自习，是损友夜奔，还是网吧停电，前方定有一个857烙锅在撩拨你，告诉你，吃了就美～～”，让人印象深刻。特别推荐他家的“超级五花肉”，肥而不腻，一整块五花肉在铁锅里面煎煮，再切碎，搭配配送的生菜一口下去，满满的肉欲感，唇齿留香；除此之外牛肉，板筋，鸡皮，小豆腐，韭菜，芹菜，土豆片也是推荐的经典菜品人均价格：60元灵魂蘸料推荐：折耳根（鱼腥草）沾水和干辣椒面一定不能错过，各类菜和肉配上这些蘸料，简直不要太美味！ #当地才能吃到的美食,展开更多,
